Aldous Huxley
Eileen Yin-Fei Lo
Robert Loren Fleming
Checkerboard Press
Betty Baker
Jane Gardam
C. S. Lewis
Gary Paulsen
Judith Zimmer
Frommer
James Finn Garner
James Finn Garner
Lisa Legarde
Alice Garrard
Rainer Eisenschmid
Mark Bittman
Jeff Davidson Jeffrey P.; Davidson
Abbot George Burke
New York Public Library
Larry Waschka
Jane Pettigrew
Patrick Chabris Christopher;Wolff
Betty Crocker Editors
Gail Diven
Steve Ettlinger
Arthur Frommer
Ann Douglas
Betty Crocker Editors
Betty Crocker Editors
Betty Crocker Editors
Eric F Goldman
Yahiya Emerick
Theodore Baker
Ernest Becker
Clement Eaton
Peter Mcdonough
Michael Schulman
Editions Berlitz S.A
Douglas A. Skoog
Philip Roth
Katherine Wei
Lloyd Alexander
Stephen J. Weininger
Horace Walpole
G. B. (1948- ) Trudeau
Charles M. Schulz
John C Brereton
A. J McClane
E. Adamson Hoebel
Michael D. Hutt
Patricia L Garfield
Paulita Sedgwick
Dee Brown
G. B. Trudeau
Robert Frost
Owen Brookes
Chinua Achebe
Richard Setlowe
William B. Sanders
Alice Koller
E. V. Cunningham
G. B. Trudeau
John Knowles
Leo Buscaglia
Gloria Steinem
Craig Claiborne
Lyndon Baines Johnson
Anthony B Herbert
David Suzuki
Barbara Hambly
Liz Evans
Alice Myers
J. R. R. Tolkien
Sophy Burnham
Sophy Burnham
Jennifer L. Holm
Victoria Alexander
Victoria Alexander
Stephanie Laurens
Milan Kundera
Terrence Cheng
James Rollins
Manil Suri
Neal Pollack
Carolyn Hart
Carolyn Hart
Denys Cazet
Garth Nix
James Grippando
Isobel Bird
Frederick Taylor
Edward DeAngelo
John Searles
Marian Keyes
James W. Huston
Elmore Leonard
Gregg Hurwitz
Gregg Hurwitz
Owen Parry
Rachel Gibson
Janice Dickinson
Joe Buff
Lawrence Block
Robert C. Atkins
Terry Pratchett
Terry Pratchett
Ira Levin
Adam Braver
Marsha Moyer
Bob Greene
Elmore Leonard
Phillip Margolin
Alisa Kwitney
Elmore Leonard
Elmore Leonard
Elmore Leonard
Judith R. Hendricks
Roger Housden
Meg Cabot
Hayden Herrera
Marian Keyes
Dorothy Samuels
Melody Beattie
Lynn Emery
Marian Keyes
Marian Keyes
Marian Keyes
Joanne Pence
Christina Dodd
Cathy Maxwell
Mary-Kate Olsen
Yxta Maya Murray
Dale Brown
Will Weaver
Rebecca Godfrey
Joseph Wambaugh
Meggin Cabot
Saralee Rosenberg
Nancy Richler
Louise Rennison
John Follain
Judith Ivory
Walter Anderson
Iain Finlay
Ruth Gordon
Tony Hillerman
Aleksandr Isaevich Solzhenitsyn
And Lamb
Milan Kundera
Diane Redfield Massie
Ursula K. Le Guin
Bernie S. Siegel
David Feldman
Anne Rivers Siddons
Barbara Kingsolver
Peter Carey
John Train
Anne Rivers Siddons
Sylvia Schur
Douglas H. Ubelaker
Jack Hitt
Tony Hillerman
Marianne Williamson
Armistead Maupin
Thomas Moore
Russell Banks
Eric Marcus
Susan Isaacs
Barbara Kingsolver
John Gray
Raisa Gorbachev
Doris May Lessing
Russell Banks
Thomas Moore
Rosa Ross
Robert Haas
Louise Erdrich
Cal Thomas
Louise Erdrich
Nancy Friday
Armistead Maupin
Sigrid Nunez
John Gray
Marlo Morgan
Russell Banks
Connie Briscoe
Laura C. Schlessinger
Douglas Rushkoff
Judy Sheindlin
Rebecca Wells
Abraham Verghese
Swain Wolfe
Sylvia Plath
Jeffrey Archer
Barbara Kingsolver
Olivia Goldsmith
Olivia Goldsmith
Barbara Kingsolver
Simon Winchester
Anne Rivers Siddons
Whitley Strieber
Donald Spoto
Camilla T. Crespi
Doris May Lessing
William Jeremiah Coughlin
Barbara Taylor Bradford
Clive Barker
Dan Quayle
Erma Bombeck
Whitney Otto
Rennie Airth
Anne Rivers Siddons
Anne Rivers Siddons
Gordon Thomas
Gerald Seymour
Barbara Taylor Bradford
John O'Donohue
Clive Barker
Anna Murdoch
Brian Wilson
Lawrence Otis Graham
Lisa Scottoline
Joyce Carol Oates
Patricia Gaffney
Brian Dolan
Kathleen E. Woodiwiss
Tim Dorsey
Philip Gonzalez
Jay Leno
Timothy Leary
Louise Erdrich
Ann Patchett
Stephanie Laurens
Gwen Macsai
L. F. Hoffman
Michael F. Roizen  M.D.
Lawrence Schiller
Stuart Woods
Patricia Gaffney
Timothy Findley
Jewel
John Colapinto
Jeffrey Archer
Wayne W. Dyer
Jane McCafferty
Judy Sheindlin
Tony Hillerman
Richard Bausch
Lou Marinoff
Loung Ung
Marilyn Yalom
Bill Phillips
Rebecca Wells
Jim Marrs
Rahna Reiko Rizzuto
Patricia Gaffney
Virginia Lanier
Jim Hightower
James Wolcott
John Colapinto
Debra Ginsberg
Isabel Allende
Harper Lee
Francine Prose
Judy Sheindlin
Patrick Robinson
Jere Longman
Ron Hansen
Joanne Harris
Joanne Harris
Barry Clifford
Lawrence Block
Lawrence Block
Annie Hawes
Michael Perry
Christina Fitzpatrick
Valerie Harper
Terry Pratchett
Barbara Kingsolver
Peggy Parish
Sharon Creech
Paul Zindel
Jean Craighead George
Margaret Wise Brown
Bill Brittain
Maud Hart Lovelace
M. E. Kerr
Shel Silverstein
Brian Sibley
Shel Silverstein
Shel Silverstein
Shel Silverstein
Shel Silverstein
Shel Silverstein
Shel Silverstein
Laura Ingalls Wilder
Sharon Creech
Jean Craighead George
Gail Carson Levine
Ji-li Jiang
Francesca Lia Block
Francesca Lia Block
Jennifer L. Holm
Garth Nix
Garth Nix
Chris Lynch
Lynn Joseph
Michael Kupperman
Isaac Bashevis Singer
Francesca Lia Block
R.l. Stine
Jane Yolen
Jennifer L. Holm
Judge Judy Sheindlin
Gloria Whelan
Gail Carson Levine
Meg Cabot
Meg Cabot
Dean Koontz
Diana Wynne Jones
Joanna Trollope
Gregory Maguire
Barry Sears
Robin Quivers
Wally Lamb
Robert H. Bork
Barry Sears
Barry Sears
Michael Moore
Chin-Ning Chu
Gregory Maguire
George Anastasia
Peggy Noonan
Gregory Maguire
Gregory Maguire
Sela Ward
Alan Cumming
Helen Bee
Joyce Carol Oates
Rebecca Wells
Michael Crichton
Sue Civil-brown
Karen Kendall
Judith R. Hendricks
Judith R. Hendricks
Sari Robins
Barbara Kingsolver
Barbara Kingsolver
Elizabeth Lowell
Elizabeth Lowell
Lisa Kleypas
Christina Lamb
Christina Lamb
Pat Shipman
Loraine Despres
Mitchell Graham
Laura Lippman
Mitchell Graham
Harold G. Moore
Steve Hagen
Chip Kidd
Terry Pratchett
Elizabeth Young
Torey Hayden
Isabel Allende
Isabel Allende
Jennifer Haigh
Jennifer Haigh
Isabel Allende
Julia Quinn
Neal Stephenson
Barbara Kingsolver
David Amsden
Karen Hawkins
Georgia Byng
Mel Odom
Lisa Scottoline
Lisa Scottoline
Bernard Cornwell
Elaine Fox
Victoria Alexander
Victoria Alexander
Rebecca Wells
Donna Tartt
Rick Carson
Marian Keyes
Marian Keyes
Laura Schlessinger
Carol Ann Lee
Lauren Haney
Kathleen Tessaro
P. W. Storm
Lee Charles Kelley
Carolyn Hart
Will Ferguson
Josephine Cox
Marcus J. Borg
Kathryn Smith
E. B. White
Mary-kate &amp; Ashley Olsen
John Stossel
Jonathan Safran Foer
Etienne Van Heerden
Marisol
R.L. Stine
Joyce Carol Oates
Julia Quinn
Carole Matthews
Bette Ford
Wally Lamb
Jacquie D'Alessandro
Stephanie Bond
Lori Bryant-woolridge
Karin Yapalater
Molly Moynahan
Isabel Allende
Joanne Pence
Charles Lewis
Arthur Nersesian
Jenna McKnight
Reed Arvin
Austin Clarke
Oliver L. North
Cait London
Marian Keyes
Edward P. Jones
Neil Gaiman
Gail Carson Levine
Kim Wong Keltner
Eloisa James
Hollis Gillespie
J. M. Barrie
Lauren Kelly
Christopher Moore
Lucy Grealy
Lois Greiman
John Gray
Gail Carson Levine
Anne Rivers Siddons
Maggie Haberman
Hailey North
Liane Moriarty
Paulo Coelho
Isabel Allende
Frank B. Gilbreth
Eliza Willard
Carole Matthews
Steve Kluger
Su Tong
Bstan-Dzin-Rgya-Mtsho
Dorothy Day
Tilden Edwards
David Glusker
Roger Housden
Vasant Joshi
Sue Monk Kidd
Sue Monk Kidd
Madeleine L'Engle
C. S. Lewis
C. S. Lewis
Richard P. McBrien
Richard J. Foster
John Shelby Spong
John Shelby Spong
Starhawk
Sheldon Vanauken
Philip Zaleski
Michael Bergin
Joe Simpson
Katherine Paterson
Jean Craighead George
Jerry Spinelli
Sharon Creech
Gabriel Garcia Marquez
Gregory Maguire
John Gunther
Betty Smith
Alan Bullock
Robert A Johnson
Nicholas Blake
Lange Lewis
Matthew Head
Simon Troy
Barbara Pym
Delano Ames
Ruth Prawer Jhabvala
E. F. Benson
Barbara Pym
Paul McGuire
Dorothy L. Sayers
Mary O'Hara
Dorothy Sayer
Cay Van Ash
Aldous Huxley
Aldous Huxley
Stephen Mitchell
Richard Wright
Richard Wright
O.E. Rolvaag
Leo Tolstoy
Aldous Huxley
Aldous Huxley
Aldous Huxley
James Thurber
Joseph Gies
Odell Shepard
Sylvia Plath
Benita Eisler
Diane Wolkstein
Sylvia Plath
Sheila Sancha
Nancy Milford
Armistead Maupin
Roger A. Caras
Milan Kundera
Milan Kundera
Charles E. Funk
Thomas Pynchon
Peter Carey
Thornton Wilder
Bobbie Ann Mason
Harriet Lerner
Pauli Murray
Bernie S. Siegel M.D.
Lou Ann Walker
Betty Macdonald
John Lennon
Milan Kundera
Annie Dillard
Barbara Kingsolver
Harriet Lerner
Harry Crews
William Zinsser
Erich Fromm
William Finnegan
Jiddu Krishnamurti
Eric Hoffer
N. Scott Momaday
Harriet Lerner
Zora Neale Hurston
Marianne Wiggins
Barbara Kingsolver
Wayne W. Dyer
Bernie S. Siegel
Russell Banks
Armistead Maupin
Mihaly Csikszentmihalyi
Barbara Kingsolver
Robert Leckie
Zora Neale Hurston
Barbara Kingsolver
Michael Talbot
Stephen Mitchell
Russell Banks
Mary Sheedy Kurcinka
Richard Shenkman
Mark Mathabane
Annie Dillard
Doris Lessing
Armistead Maupin
Jo-Ann Mapson
Bernie S. Siegel
Armistead Maupin
Armistead Maupin
Armistead Maupin
Vikram Seth
David Feldman
Thomas Moore
Norman F. Cantor
Mary Kay Ash
Vicki Hearne
Lisa St. Aubin De Teran
Michael Lee West
Marlo Morgan
James Wilcox
Barbara Kingsolver
Michele Slatalla
Isabel Allende
Russell Banks
Milan Kundera
Barbara Kingsolver
Doris Lessing
Ursula K. Le Guin
Laura C. Schlessinger
Janis Abrahms Spring
Mihaly Csikszentmihalyi
Rebecca Wells
Milan Kundera
Ralph Helfer
John Colapinto
Gabriel Garcia Marquez
Richard A. Wright
Thornton Wilder
Aldous Huxley
Betty Smith
Beth Gutcheon
Sue Miller
Louise Erdrich
Sylvia Plath
Milan Kundera
Sarah Payne Stuart
Mary Sheedy Kurcinka
Barbara Kingsolver
Doris Lessing
Richard Bausch
Russell Banks
Jay Winik
Armistead Maupin
Kevin Baker
Louise Erdrich
Sara Davidson
Lou Marinoff
Doris Lessing
Zora Neale Hurston
Thomas Pynchon
Bill Zehme
Simon Winchester
Hermann Hesse
Homer
Milan Kundera
Milan Kundera
Milan Kundera
Gabriel Garcia Marquez
Isabel Allende
Matt Ridley
Clive Barker
Clive Barker
Rebecca Wells
Joyce Carol Oates
Alan Epstein
Katie Hickman
Ann Patchett
Kathryn Harrison
Neil Gaiman
Neil Gaiman
Michael J. Nelson
Anthony Bourdain
Mark Doty
Harper Lee
Jose Raul Bernardo
Gao Xingjian
Isabel Allende
Rebecca Bloom
Bonnie Angelo
Doris Lessing
Toni Weschler
John Whitman
Lisa Carey
Richard Skinner
Kevin Murphy
Valerie Frankel
Eric Schlosser
Toni Weschler
Suzanne Havala
Isabel Allende
Isabel Allende
Isabel Allende
Isabel Allende
Isabel Allende
Tom Connor
Shireen Dodson
Michelle Passoff
Matt Groening
Sara Shandler
Michael J. Rosen
Lesley Adkins
Lori Marie Carlson
Margaret Landon
Bruce Robinson
Arthur Schwartz
Olivia Goldsmith
Raul Correa
Henry James
Paulo Coelho
Richard Rayner
Josh Koppel
Bobbie Ann Mason
Edward Abbey
Jonathan Kozol
Edna Ferber
Russell Banks
Betty Smith
Shireen Dodson
Karen Duffy
Joanne Harris
Joanne Harris
Annie Hawes
Bernard Malamud
Bernard Malamud
Barbara Kingsolver
Daniel Jones
David Starkey
Cokie Roberts
Deborah Tannen
Norman Kelley
Richard Alleman
Nancy Birnes
Richard David Carson
Denise Caignon
Ellen Bass
Lois Ruskai Melina
Armistead Maupin
Armistead Maupin
Armistead Maupin
Armistead Maupin
Judy Tenuta
Alex Trebek
Matt Groening
Jane Stern
Pam Young
Barbara Pym
Dee Wells
Oliver W. Sacks
Susan Trott
Alice McDermott
Ivan Doig
Michael Chabon
Louise Erdrich
Tobias Wolff
Harville Hendrix
Marlene Sanders
Carlo D'Este
Oscar Hijuelos
Oswald Wynd
Bel Kaufman
Mary Crow Dog
Patricia Wentworth
Patricia Wentworth
Milan Kundera
Ronald Sanders
Andrew H. Malcolm
Jonathan Kozol
Marguerite Duras
Marian Wright Edelman
Louise Erdrich
Velma Wallis
Sherman Alexie
Laura C. Schlessinger
Lucy Grealy
Ian Frazier
Rebecca Wells
Jonathan Kozol
Ron Hansen
Kate Phillips
Lillian B. Rubin
Michael Moore
Sebastian Junger
Arundhati Roy
Louise Erdrich
Michael Lee West
Ron Hansen
Michael Lee West
Michael Lee West
Cecilia Tan
Douglas Coupland
Gregory Maguire
Michael Moore
Douglas Coupland
Bertram Fields
Nancy E. Turner
Gregory Maguire
Wally Lamb
Anna Maxted
Anna Maxted
Gregory Maguire
Jillian Medoff
Alan Cumming
Simon Winchester
Milan Kundera
Milan Kundera
Tony Hillerman
Tony Hillerman
E. L. Doctorow
A. A. Attanasio
Yogi Berra
Tony Hillerman
Peter Maas
Tony Hillerman
Tony Hillerman
Michael Stewart
Agatha Christie
Zane Grey
Agatha Christie
Agatha Christie
Agatha Christie
Erin Pizzey
Robert Harris
Naomi Ragen
Jeffrey Archer
Jeffrey Archer
Jeffrey Archer
Len Deighton
Barbara Taylor Bradford
Barbara Taylor Bradford
Stephen Smoke
Barbara Delinsky
JANET EVANOVICH
Naomi Ragen
Laura Joh Rowland
William Lashner
Barbara Michaels
John Gray
Amy Paulsen
Barbara Delinsky
Julia Phillips
Fran Drescher
Peter Maas
Elizabeth Hand
Barbara Taylor Bradford
Jackie Collins
Jeffrey Archer
Stuart Woods
Sebastian Junger
Johnny Cash
William Hoffman
Marian Thurm
Peter Maas
Valerie Frankel
Rebecca Wells
Michael Crichton
Ann Marston
Ann Marston
Margaret Weis
Terry Pratchett
Terry Pratchett
Terry Pratchett
Terry Pratchett
Terry Pratchett
Terry Pratchett
Terry Pratchett
Mark Burnell
Sherry Sontag
Cybill Shepherd
Clive Barker
Susan Isaacs
Lisa Scottoline
Phillip Margolin
Phillip Margolin
Patrick Robinson
Patrick Robinson
Joanne Pence
William Hoffman
Lawrence Block
Elizabeth Lowell
Elizabeth Lowell
Paullina Simons
Sujata Massey
Terry Pratchett
Lisa Scottoline
Lisa Scottoline
Kathleen E. Woodiwiss
Tim Dorsey
Tim Dorsey
Chuck Logan
Stephanie Laurens
Richard Herman
James Reese
Jacquelyn Mitchard
Sally Beauman
Jeffrey Archer
Susan Elizabeth Phillips
Mark Billingham
Mario Puzo
Jacquelyn Mitchard
Anne Wilson Schaef
Eileen Dreyer
Terry Pratchett
Barbara Delinsky
Barbara Delinsky
Lisa Scottoline
Lisa Scottoline
Emma Lathen
Dorothy L. Sayers
Dorothy L. Sayers
Dorothy L. Sayers
Richard J. Foster
Jan Burke
Jan Burke
Sujata Massey
Sujata Massey
Stuart Woods
John Gray
Terry Pratchett
Anne McCaffrey
Stephen R. Lawhead
Tad Williams
David Copperfield
Paul Witcover
Terry Pratchett
Terry Pratchett
Stephen Baxter
Elizabeth Hand
Charles Grant
Clive Barker
Ursula K. Le Guin
Charles Grant
Charles Grant
William R. Forstchen
Jack Mcdevitt
Jack Mcdevitt
Elizabeth Hand
Janny Wurts
Elyse Guttenberg
Ursula K. Le Guin
Terry Pratchett
Shirley Rousseau Murphy
Patricia Kennealy-Morrison
Lewis Gannett
Guy Gavriel Kay
Ann Marston
Ann Marston
Ann Marston
Gregory Benford
Ben Mezrich
John Barnes
Kevin J. Anderson
Dean Devlin
Terry Pratchett
Dean Devlin
Stephen M. Rainey
Terry Pratchett
A. A. Attanasio
James Herbert
Robin Burcell
Anne Mccaffrey
Anne McCaffrey
Greg Egan
Stephen Baxter
Terry Pratchett
Mel Odom
Chris Carter
Shirley Rousseau Murphy
Ann Marston
Anne Mccaffrey
Anne Mccaffrey
Guy Gavriel Kay
David G. Hartwell
Mel Gilden
Mel Gilden
T. S. Rue
Nicholas Adams
Mel Gilden
Janice Harrell
Mary Wollstonecraft Shelley
Sherry Shahan
Karle Dickerson
Stephen Fuentes
Joanna Campbell
Joanna Campbell
Megan Stine
K. T. Smith
Bebe Faas Rice
Mel Gilden
Mel Gilden
Andy Meisler
Richard Dominick
Jewel
Mary-kate &amp; Ashley Olsen
Susan Wiggs
Marianne Willman
Joanne Pence
Chassie West
Sharon Sala
Jeane Renick
Dinah McCall
Sharon Sala
Maureen Child
Deborah Bedford
Tamara Leigh
Susan Wiggs
Nancy Block
Susan Kay Law
Kinley Macgregor
Bernard Cornwell
Len Deighton
Oliver L. North
Stuart Woods
Clive Barker
Stuart Woods
Stuart Woods
Leon Uris
Susan Isaacs
John H. Davis
Bernard Cornwell
Bernard Cornwell
Clive Barker
Erma Bombeck
Jeffrey Archer
Barbara Taylor Bradford
Terry Pratchett
Terry Pratchett
William Shatner
Barbara Michaels
Tony Hillerman
Tony Hillerman
Barbara Delinsky
James Grippando
Clive Barker
Susan Isaacs
Susan Isaacs
Anne Rivers Siddons
Anne Rivers Siddons
Stuart Woods
Jeffrey Archer
Olivia Goldsmith
Marianne Wesson
Orson Scott Card
Orson Scott Card
Stuart Woods
Stuart Woods
Barbara Taylor Bradford
Lynn S. Hightower
Janet Dailey
Janet Dailey
Stuart Woods
Olivia Goldsmith
Barbara Taylor Bradford
Patrick Robinson
Len Deighton
Lynn S. Hightower
Lisa Scottoline
Lisa Scottoline
Eric L. Harry
Robert Fulghum
Phyllis Richman
Peter Maas
Lawrence Schiller
Patricia Gaffney
April Henry
Weinhaus Evonne
Barbara Seranella
Robert K. Tanenbaum
Barbara Kingsolver
James Grippando
James Grippando
Olivia Goldsmith
Olivia Goldsmith
Kate Morgenroth
Phyllis Richman
Tony Hillerman
Tony Hillerman
Nancy Friday
Patrick Robinson
Kyle Mills
L. F. Hoffman
Marilu Henner
Neil Mcmahon
Patricia Gaffney
Barbara Kingsolver
Mark Fuhrman
Stephen Horn
Tony Hillerman
Clive Barker
Erma Bombeck
Craig Thomas
Tony Hillerman
Tony Hillerman
Anne Rivers Siddons
Tony Hillerman
Stuart Woods
Susan Isaacs
Louise Erdrich
Clive Barker
Anne Rivers Siddons
Anne Rivers Siddons
Anne Rivers Siddons
Anne Rivers Siddons
Stuart Woods
Erma Bombeck
Andrew Bergman
Richard L. Rubenstein
Lynn V. Andrews
Lynn V. Andrews
Paulo Coelho
Paulo Coelho
Ming-Dao Deng
Larry Dossey
Riane Eisler
Frank Ferrell
James Hillman
Dalai Lama XIV
Jennifer Louden
Emmet Fox
Martin  Luther King
Jiddu Krishnamurti
Paul Monette
Jamie Sams
Susan Shaughnessy
Starhawk
Harper Collins Publishers
Sogyal Rinpoche
Mel Curtis
Jalal Al-Din Rumi
Jalal Al-Din Rumi
Dan Cavicchio
Charlotte J. Beck
Melody Beattie
Martha Manning
Robert Eisenberg
Annie Gottlieb
Paulo Coelho
Peter Cashorali
Paulo Coelho
Paulo Coelho
Ken Carey
Anne Wilson Schaef
Victoria Moran
Oriah
Sidney Poitier
Oriah Mountain Dreamer
Jay Bakker
Lynne Hinton
Zhi Gang Sha
Debbie Ford
Tim Farrington
Madeleine L'engle
Anne Wilson Schaef
Macrina Wiederkehr
Karen Casey
Sefra Kobrin Pitzele
Barbara Quick
Eugene Ehrlich
Peggy Post
Nancy Dunnan
Eugene Ehrlich
Ric Edelman
Larry Gonick
Larry Gonick
Tracy Chutorian Semler
Larry Gonick
Edwin A. Abbott
Deborah Chase
Louis D. Rubin
William Knowlton Zinsser
Cindy Ribarich
Elizabeth L. Post
Elizabeth L. Post
HarperReference
Laura Ingalls Wilder
Laura Ingalls Wilder
Laura Ingalls Wilder
Laura Ingalls Wilder
Laura Ingalls Wilder
Laura Ingalls Wilder
Laura Ingalls Wilder
Laura Ingalls Wilder
William H. Armstrong
Laura Ingalls Wilder
Mary Rodgers
E. B. White
E. B. White
E. B. White
Jean Craighead George
Laura Ingalls Wilder
Laura Ingalls Wilder
Laurence Yep
Maud Hart Lovelace
Maud Hart Lovelace
Maud Hart Lovelace
Maud Hart Lovelace
Maud Hart Lovelace
John Reynolds Gardiner
Isaac Bashevis Singer
Betty MacDonald
Betty Macdonald
Mary Stolz
Michelle Magorian
Bette Bao Lord
Alvin Schwartz
Katherine Paterson
Paul Fleischman
Frances Hodgson Burnett
Patricia MacLachlan
Beverley Naidoo
Natalie Savage Carlson
Barbara Robinson
Julie Andrews Edwards
Julie Andrews Edwards
Louise Fitzhugh
Paul Fleischman
Katherine Paterson
Robin McKinley
Roger Lea Macbride
C. S. Lewis
C. S. Lewis
C. S. Lewis
C. S. Lewis
C. S. Lewis
C. S. Lewis
C. S. Lewis
Roger Lea MacBride
Sharon Creech
Frances Temple
Jean Craighead George
Roger Lea Macbride
Roger Lea Macbride
Jerry Spinelli
Karen Cushman
Marion Dane Bauer
Deborah Savage
Karen Cushman
Sharon Creech
Les Martin
Louise Fitzhugh
Jean Craighead George
Sharon Creech
Sharon Creech
Gail Carson Levine
Walter Dean Myers
Francesca Lia Block
Gail Carson Levine
Lemony Snicket
Lemony Snicket
Lemony Snicket
Gary Soto
Emma Donoghue
Kara Dalkey
Francesca Lia Block
Laurence Yep
Maud Hart Lovelace
Lemony Snicket
Lemony Snicket
Lemony Snicket
C. S. Lewis
C. S. Lewis
C. S. Lewis
Lemony Snicket
Lemony Snicket
R. L. Stine
Gregory Maguire
R.l. Stine
Elizabeth Levy
Margaret Wise Brown
Crockett Johnson
Charlotte Zolotow
William Joyce
Maurice Sendak
Peggy Parish
Peggy Parish
Nathaniel Benchley
Arnold Lobel
Nathaniel Benchley
Peggy Parish
Peggy Parish
Paul Fleischman
Lois Lenski
Ji-Li Jiang
Stuart J. Murphy
Bill Cleaver
Pam Conrad
David Carkeet
Bruce Brooks
M. E. Kerr
C. S. Lewis
C. S. Lewis
C. S. Lewis
C. S. Lewis
C. S. Lewis
C. S. Lewis
Garth Nix
Victor Martinez
Francesca Lia Block
Louise Rennison
Louise Rennison
Francesca Lia Block
Alex Flinn
Adam Rapp
Meg Cabot
Meg Cabot
Isobel Bird
Kate Cann
Diana Wynne Jones
Diana Wynne Jones
Diana Wynne Jones
Louise Rennison
Harry Shaw
Mary Murray DeLaney
Mary Kay Ash
Joyce Carol Oates
Louise Erdrich
James Reese
Dorothy Samuels
Evan I. Schwartz
Bernard Cornwell
Sally Beauman
Susan Elizabeth Phillips
Jose Raul Bernardo
Elinor Burkett
Isabel Allende
Cathi Hanauer
Francoise Sagan
David Edmonds
David Davidar
Jillian Medoff
Sujata Massey
Mark Billingham
Mavis Kaye
Michael Crichton
Bell Hooks
Paulette Jiles
Michael E. Gerber
Louise Rennison
C. S. Lewis
Linus Torvalds
Jim Collins
Dave Longaberger
Richard Olney
Robert J. Ringer
Julian Barnes
Heinrich Boll
Erma Bombeck
Erma Bombeck
Erma Bombeck
Philip B. Crosby
Philip B. Crosby
Alec Fisher
Fannie Flagg
Alan Lelchuk
Stanley Milgram
Gilbert H. Muller
Norman Rockwell
Roy W. Poe
Gordon W. Prange
Ed Rose
Mitchell Smith
John Stewart
Janet Groene
Bill Lessard
Jea Yu
Leslie Alan Horvitz
Sir Francis Chichester
Ann Louise Gittleman
U.S. Department Of Labor
Ann Louise Gittleman
Jim Underwood
Ann Louise Gittleman
Donald F. Kettl
Harley Hahn
Steve Bobrowski
Richard Petersen
Eric A. Meyer
Larry Madaras
Sandra Waddock
Linda Brower Meeks
Joel Spring
George McKenna
Alfred J. Kahn
Lois Paxton
John Darnton
H Leighton Steward
Lee Striker
Susan Feldman
Kim Wilkins
Angela Malone
Donald A. Mackenzie
Alex Dingwall-Main
Tony Hawks
Tony Hawks
Victor Serebriakoff
Roger Sherman Loomis
Angela Carter
Gordon Honeycombe
Fannie Flagg
John Grisham
John Grisham
Anne Tyler
Naomi Wolf
Philip Roth
David Starkey
Susan Minot
Douglas Scott
Franz Kafka
Paul Temple
Deborah Levy
John Berendt
CHRISTOPHER FOWLER
Ann-Marie MacDonald
James Hawes
Bruce Chatwin
Arthur Golden
Philip Roth
John Grisham
James C. Robertson
Donald L. Pipkin
Courtland L. Bovee
Michael A. Mische
Sherry Diestler
Jeffrey D. Greene
Richard Preston
V.K. Narayanan
Matilde Olivella Castells
Richard D. Kellough
William Cohen
Richard W. Paul
Betty Crocker Editors
P.J. Gearing
William Stallings
Eric Shiraev
M. Neil Browne
John Caples
Harry H. Hiller
